team,wins
Ferrari,249
Mercedes,121
McLaren Mercedes,85
Williams Renault,64
Lotus Ford,47
McLaren Honda,44
McLaren Ford,35
Renault,35
Red Bull Racing Renault,35
Red Bull Racing Honda RBPT,30
McLaren TAG,25
Lotus Climax,24
Tyrrell Ford,23
Williams Honda,23
BRM,17
Williams Ford,17
Red Bull Racing RBPT,17
Red Bull Racing Honda,16
Brabham Ford,15
RBR Renault,15
Cooper Climax,14
Benetton Ford,14
Benetton Renault,12
Alfa Romeo,11
McLaren,11
Vanwall,10
Williams BMW,10
Maserati,9
Mercedes-Benz,9
Matra Ford,9
Red Bull Racing TAG Heuer,9
Brabham Repco,8
Brabham BMW,8
Brawn Mercedes,8
Lotus Renault,7
Kurtis Kraft Offenhauser,5
Ligier Ford,5
Watson Offenhauser,3
Honda,3
March Ford,3
Wolf Ford,3
Ligier Matra,3
Jordan Mugen Honda,3
Epperly Offenhauser,2
Brabham Climax,2
Cooper Maserati,2
Brabham Alfa Romeo,2
Lotus Honda,2
Red Bull Racing,2
Kuzma Offenhauser,1
